title,is_clickbait,similarity_score
Israel air force intercepts three drones launched from Yemen: military,True,0.2819602004268558
AI giant Anthropic expands restrictions on Chinese entities,True,0.2400837291338816
France bets on 'Nostradamus' radar to spot missiles,True,0.1316969867901709
Amazon's Starlink rival lands first major airline deal,True,0.08096024316599365
Got $500? 2 Top Growth Stocks to Buy That Could Double Your Money,True,0.0
Building consent reform: how digital technology can make new liability rules watertight,True,0.08176804146599938
Denny Hamlin Claps Back At Gateway Boos After NASCAR Cup Win From Pole,True,0.20199309249791833
Learn More Latest Releases – Philippines,True,0.0
"Equipped with AI technology, the Tempur SmartBase offers a personalised sleep experience designed for comfort and well-being.",False,1.0000000000000002
Bizora,True,0.14088237907600396
Top 5 Biophilic Design Trends for Indoors: Illuminated Greenery and Functional Plant Solutions,False,0.4705092859648103
Abaxx Exchange and Qingdao International Energy Exchange Explore Strategic Physical LNG Collaboration,True,0.09665035309697147
"Sovereign Metals Limited (ASX:SVM) stock most popular amongst individual investors who own 57%, while public companies hold 19%",True,0.2552035283798353
Denny Hamlin sheds runner-up tag on way to victory in Enjoy Illinois 300 at Gateway,True,0.15973937686327608
"Where to invest $10,000 in ASX shares in September",False,0.49971463702308494
"Microsoft, Linode, warn of cloud latency spikes due to Middle East submarine cable problems",True,0.16516254771155756
"NASCAR playoffs at St. Louis results: Denny Hamlin gets fifth win of 2025, Toyota's 200th victory at Gateway",True,0.04851444156903245
Apple iPhone 17 Air: New Details Leaked In Latest Report,False,0.47592392295232083
Bank for fintechs Lead raises $70m,True,0.14583659189722664
"2026 BMW iX3 vs. Mercedes-Benz GLC EV Design, Tech, Interior, and Performance Compared",True,0.1571099224231888
Hamlin wins at Gateway to advance in playoffs,True,0.052663467749195766
Irish banks to take on Revolut with new instant mobile payments plan,False,0.31125746752705385
Gymshark Offers Up Limited-Edition Sneakers With R.A.D Collaboration,True,0.05156269994380422
Banks in plan to launch in-app instant payment service,True,0.21277251046507964
Banks to launch person-to-person mobile payment service,False,0.5411896557540229
All-girl team revving up for world race car building challenge,True,0.2500157699578561
"Mystery data centres: Mercury says Amazon’s power thirst is real, and weighs in on pricing - Tech Insider",True,0.04416443453527434
What drivers said at Gateway after Cup win by Denny Hamlin,True,0.0
The Battle Brewing: Mass Surveillance Vs The People,False,0.7050987507063268
Apple Reminders on macOS Tahoe includes this interesting piece of vintage UI design,True,0.18622484972867864
